Order ID,Customer ID,Customer Name,Product ID,Product Name,Category,Sub Category,Brand,Supplier,Store,City,State,Country,Sales Representative,Payment Method,Currency,Order Date,Ship Date,Quantity,Unit Price,Discount %,Tax %,Order Status,Shipping Method,Customer Type
O10005,C1090, maria  santos ,P5091,Samsung Galaxy,Electronics,Phone,Samsung,Prime Goods,Online Store, Los Angeles ,California,USA,John Cruz,Cash,USD,2025-02-15,2025-02-21,6,2200.4,0,12,Pending,Express,Retail
O10001,C1020,Juan Dela Cruz,P5038,Samsung Galaxy,Electronics,Phone,Samsung,Prime Goods,North Hub,cebu city,Cebu,Philippines,Maria Santos,CASH,PHP,2024-09-01,2024-09-06,6,4931.85,0,12,Returned,Same Day,Wholesale
O10002,C1114,PEDRO REYES,P5178,Lenovo ThinkPad,Electronics,Laptop,Lenovo,ABC Supply,North Hub,Cebu City,Cebu,Philippines,Maria Santos,Cash Payment,PHP,2025-13-45,2024-11-12,2,3844.99,0,12,Returned,Same Day,Retail
O10003,C1063,Juan Dela Cruz,P5153,Philips Hue,Home,Lamp,Philips,ABC Supply,Online Store,Los Angeles,California,USA,Maria Santos,CASH,USD,2024-07-26,2024-07-28,9,4735.24,0,12,Pending,Standard,Wholesale
O10004,C1043,mArIa Cruz,P5029,Lenovo ThinkPad,Electronics,Laptop,Lenovo,Prime Goods,Online Store,Cebu City,Cebu,Philippines,John Cruz,CASH,PHP,2024-10-01,2024-10-05,-6,3842.42,5,12,Pending,Express,Wholesale
O10005,C1134,mArIa Cruz,P5135,Nike Runner,Fashion,Shoes,Nike,ABC Supply,North Hub,Manila,NCR,Philippines,Maria Santos,GCash,PHP,2024-07-19,2024-07-26,4,1596.75,15,12,Completed,Standard,Wholesale
O10006,C1030,mArIa Cruz,P5118,IKEA Ergo,Home,Chair,IKEA,ABC Supply,Online Store,Cebu City,Cebu,Philippines,John Cruz,GCash,PHP,2024-02-06,2024-02-10,5,1809.51,5,12,Pending,Same Day,Wholesale
O10007,C1148,Juan Dela Cruz,P5120,Samsung Galaxy,Electronics,Phone,Samsung,ABC Supply,North Hub,Manila,NCR,Philippines,Maria Santos,CASH,PHP,2024-06-10,2024-06-11,-7,2521.66,15,12,Returned,Same Day,VIP
O10008,C1071,mArIa Cruz,P5025,Philips Hue,Home,Lamp,Philips,ABC Supply,North Hub,los angeles,California,USA,John Cruz,Cash Payment,USD,2025-03-16,2025-03-20,7,1532.02,15,12,Returned,Express,Wholesale
O10009,C1133, maria  santos ,P5159,IKEA Ergo,Home,Chair,IKEA,Prime Goods,North Hub,los angeles,California,USA,John Cruz,cash,USD,2024-08-23,2024-08-24,7,3619.11,5,12,Pending,Standard,Wholesale
O10010,C1041, maria  santos ,P5071,Puma Travel,Fashion,Bag,Puma,ABC Supply,Online Store,cebu city,Cebu,Philippines,John Cruz,Credit Card,PHP,2024-09-17,2024-09-23,5,4757.98,0,12,Pending,Standard,VIP
O10011,C1074, maria  santos ,,Samsung Galaxy,Electronics,Phone,Samsung,ABC Supply,Online Store,Los Angeles,California,USA,Maria Santos,Credit Card,USD,2024-01-20,2024-01-25,7,1485.36,15,12,Completed,Standard,Retail
