Order ID,Customer ID,Customer Name,Product ID,Product Name,Category,Sub Category,Brand,Supplier,Store,Country,State,City,Sales Representative,Order Date,Ship Date,Quantity,Unit Price,Discount %,Tax %,Payment Method,Currency,Order Status,Shipping Method,Promo Code,Customer Type
O1000,C166,Juan Dela Cruz,P1044,Nike Shirt,Fashion,Shirt,Nike,GlobalTrade,Central Mall,Philippines,Cebu, Cebu City ,Dan Tan,2025-99-99,2025-06-09,7,3828.03,0,12,Cash,PHP,Returned,Express,,VIP
O1001,C165,Juan Dela Cruz,P1012,Lenovo Laptop,Electronics,Laptop,Lenovo,ABC Supply,North Hub,Philippines,Cebu,Cebu City,Dan Tan,2025-99-99,2025-02-15,4,386.23,10,12,PayPal,PHP,Pending,Standard,SAVE10,VIP
O1002,C101,Juan Dela Cruz,P1085,Adidas Shoes,Fashion,Shoes,Adidas,Prime Goods,North Hub,USA,CA, Los Angeles ,Alice Cruz,2026-02-18,2026-02-25,3,3999.41,15,12,Credit Card,USD,Returned,Standard,VIP20,Retail
O1003,C119,PEDRO REYES,P1049,Adidas Shoes,Fashion,Shoes,Adidas,ABC Supply,Central Mall,Philippines,Cebu,Cebu City,Dan Tan,2025-05-20,2025-05-25,9,4607.97,0,12,PayPal,PHP,Returned,Same Day,,VIP
O1004,C170,mArIa  cruz,P1044,Lenovo Laptop,Electronics,Laptop,Lenovo,ABC Supply,Online,USA,CA,los angeles,Alice Cruz,2025-04-16,2025-04-20,-9,1947.37,5,12,Cash Payment,USD,Returned,Express,SAVE10,Retail
O1005,C123,Maria Santos,P1047,IKEA Chair,Home,Chair,IKEA,ABC Supply,Central Mall,Philippines,NCR,mAnIlA,Dan Tan,2026-04-30,2026-05-02,7,4844.15,15,12,PayPal,PHP,Returned,Express,,Retail
O1006,C163,Maria Santos,P1090,Adidas Shoes,Fashion,Shoes,Adidas,Prime Goods,Central Mall,USA,CA,LOS ANGELES,Cara Lim,2025-01-09,2025-01-11,10,3494.58,15,12,GCash,USD,Returned,Express,VIP20,Retail
O1007,C155,Maria Santos,P1034,IKEA Chair,Home,Chair,IKEA,GlobalTrade,Online,Philippines,NCR,manila,Alice Cruz,2025-05-23,2025-05-24,10,4010.95,0,12,CASH,PHP,Completed,Same Day,,Retail
O1008,C155, Ana Lopez,P1044,Samsung Phone,Electronics,Phone,Samsung,ABC Supply,North Hub,USA,CA, Los Angeles ,Cara Lim,2025-04-08,2025-04-10,5,313.06,5,12,PayPal,USD,Returned,Standard,VIP20,VIP
O1009,C129, Ana Lopez,P1019,IKEA Chair,Home,Chair,IKEA,ABC Supply,North Hub,Philippines,Cebu,CEBU CITY,Cara Lim,2025-09-30,2025-10-07,1,222.1,10,12,Credit Card,PHP,Returned,Standard,,Wholesale
O1010,C146, Ana Lopez,P1041,Samsung Phone,Electronics,Phone,Samsung,Prime Goods,North Hub,USA,CA,LOS ANGELES,Bob Reyes,2025-08-17,2025-08-22,8,1023.36,15,12,Cash,USD,Returned,Same Day,VIP20,Retail
O1011,C141,PEDRO REYES,P1052,Philips Lamp,Home,Lamp,Philips,ABC Supply,North Hub,Philippines,Cebu,cebu city,Dan Tan,2026-04-30,2026-05-07,9,3618,10,12,PayPal,PHP,Returned,Express,VIP20,Retail
O1012,C168,Maria Santos,P1003,IKEA Chair,Home,Chair,IKEA,GlobalTrade,Online,USA,CA,los angeles,Dan Tan,2025-08-20,2025-08-24,8,1849.64,15,12,Cash Payment,USD,Completed,Standard,,VIP
O1013,C105,mArIa  cruz,P1094,Samsung Phone,Electronics,Phone,Samsung,Prime Goods,Central Mall,Philippines,NCR, Manila ,Bob Reyes,2025-03-20,2025-03-22,8,3625.56,5,12,Credit Card,PHP,Completed,Standard,,Retail
O1014,C148,Juan Dela Cruz,P1047,Nike Shirt,Fashion,Shirt,Nike,Prime Goods,Central Mall,USA,CA, Los Angeles ,Bob Reyes,2026-04-11,2026-04-16,2,152.83,0,12,PayPal,USD,Cancelled,Same Day,,Wholesale
O1015,C138,Juan Dela Cruz,P1007,IKEA Table,Home,Table,IKEA,Prime Goods,Online,Philippines,NCR,manila,Alice Cruz,2025-11-18,2025-11-24,5,1507.48,0,12,cash,PHP,Cancelled,Standard,,Retail
O1016,C146,Juan Dela Cruz,P1074,Philips Lamp,Home,Lamp,Philips,ABC Supply,Online,Philippines,Cebu,cebu city,Dan Tan,2026-01-09,2026-01-13,1,2852.52,0,12,CASH,PHP,Completed,Same Day,VIP20,VIP
O1017,C150,Maria Santos,P1085,Sony Headphones,Electronics,Headphones,Sony,GlobalTrade,North Hub,Philippines,Cebu, Cebu City ,Alice Cruz,2025-08-31,2025-09-06,6,1801.63,10,12,CASH,PHP,Pending,Standard,,Retail
O1018,C170,Maria Santos,P1032,Sony Headphones,Electronics,Headphones,Sony,Prime Goods,Online,Philippines,Cebu,Cebu City,Cara Lim,2025-01-28,2025-02-03,3,2686.58,5,12,Credit Card,PHP,Pending,Same Day,SAVE10,VIP
O1019,C139,Maria Santos,P1070,Puma Bag,Fashion,Bag,Puma,Prime Goods,Central Mall,Philippines,Cebu,Cebu City,Bob Reyes,2025-02-23,2025-02-26,3,1980.62,5,12,Cash Payment,PHP,Cancelled,Standard,SAVE10,Retail
O1020,C123, Ana Lopez,P1051,Puma Bag,Fashion,Bag,Puma,GlobalTrade,Online,Philippines,NCR,mAnIlA,Bob Reyes,2025-12-29,2026-01-01,1,2926.54,0,12,cash,PHP,Cancelled,Same Day,VIP20,VIP
O1021,C123,mArIa  cruz,P1097,Sony Headphones,Electronics,Headphones,Sony,Prime Goods,Online,Philippines,NCR, Manila ,Cara Lim,2025-02-17,2025-02-22,8,1117.15,10,12,Cash Payment,PHP,Cancelled,Same Day,VIP20,Wholesale
O1022,C112,mArIa  cruz,P1003,Samsung Phone,Electronics,Phone,Samsung,Prime Goods,Online,USA,CA,los angeles,Alice Cruz,2025-03-23,2025-03-27,9,654.75,15,12,cash,USD,Completed,Standard,,Retail
O1023,C108, Ana Lopez,P1053,Adidas Shoes,Fashion,Shoes,Adidas,GlobalTrade,Central Mall,Philippines,Cebu,Cebu City,Bob Reyes,2026-03-02,2026-03-06,1,4031.58,10,12,GCash,PHP,Completed,Same Day,,Retail
O1024,C145,PEDRO REYES,P1061,Samsung Phone,Electronics,Phone,Samsung,Prime Goods,Online,Philippines,NCR,mAnIlA,Dan Tan,2026-04-23,2026-04-29,6,3997.51,0,12,Credit Card,PHP,Returned,Express,VIP20,VIP
O1025,C123,Maria Santos,P1099,IKEA Table,Home,Table,IKEA,GlobalTrade,Central Mall,USA,CA,Los Angeles,Bob Reyes,2025-12-02,2025-12-03,9,3039.51,0,12,Credit Card,USD,Returned,Standard,SAVE10,VIP
O1026,C144, Ana Lopez,P1030,IKEA Table,Home,Table,IKEA,Prime Goods,Online,USA,CA, Los Angeles ,Cara Lim,2026-03-19,2026-03-24,10,2518.25,5,12,GCash,USD,Completed,Express,VIP20,VIP
O1027,C163, Ana Lopez,P1036,Lenovo Laptop,Electronics,Laptop,Lenovo,Prime Goods,Online,USA,CA,los angeles,Bob Reyes,2026-05-02,2026-05-04,2,4934.3,15,12,Cash,USD,Cancelled,Express,,Retail
O1028,C131,mArIa  cruz,P1046,Nike Shirt,Fashion,Shirt,Nike,Prime Goods,Online,USA,CA, Los Angeles ,Cara Lim,2025-05-06,2025-05-13,4,2288.84,15,12,PayPal,USD,Cancelled,Standard,,Wholesale
O1029,C133, Ana Lopez,P1001,Nike Shirt,Fashion,Shirt,Nike,Prime Goods,Central Mall,Philippines,Cebu,Cebu City,Bob Reyes,2026-03-29,2026-04-05,8,3875.07,5,12,Cash Payment,PHP,Pending,Same Day,SAVE10,Retail
O1030,C148,PEDRO REYES,P1100,Nike Shirt,Fashion,Shirt,Nike,ABC Supply,North Hub,Philippines,NCR, Manila ,Dan Tan,2025-05-04,2025-05-08,4,3713.2,10,12,GCash,PHP,Completed,Same Day,,VIP
O1031,C153, Ana Lopez,P1029,IKEA Table,Home,Table,IKEA,Prime Goods,Central Mall,Philippines,Cebu, Cebu City ,Bob Reyes,2026-03-12,2026-03-14,10,4562.39,5,12,CASH,PHP,Completed,Standard,SAVE10,Retail
